9; 460% = 0.92; #uncovered = 460; #vertex = 500; #edges = 50006;penalty is 460, down from 520
9; 67% = 0.67; #uncovered = 67; #vertex = 100; #edges = 49;penalty is 69, down from 103
9; 6% = 0.67; #uncovered = 6; #vertex = 9; #edges = 11;penalty is 6, down from 10
1; 0% = 0.0; #uncovered = 0; #vertex = 100; #edges = 88;penalty is 0, down from 117
9; 77% = 0.15; #uncovered = 77; #vertex = 499; #edges = 149147;penalty is 102, down from 666
9; 167% = 0.83; #uncovered = 167; #vertex = 200; #edges = 200;penalty is 178, down from 217
4; 194% = 0.97; #uncovered = 194; #vertex = 200; #edges = 8725;penalty is 204, down from 210
9; 300% = 0.6; #uncovered = 300; #vertex = 500; #edges = 81528;penalty is 432, down from 720
4; 48% = 0.96; #uncovered = 48; #vertex = 50; #edges = 293;penalty is 74, down from 78
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 249500;penalty is 0, down from 504
1; 0% = 0.0; #uncovered = 0; #vertex = 308; #edges = 47422;penalty is 0, down from 428
9; 450% = 0.9; #uncovered = 450; #vertex = 499; #edges = 45533;penalty is 479, down from 555
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 625;penalty is 0, down from 625
1; 0% = 0.0; #uncovered = 0; #vertex = 10; #edges = 4;penalty is 0, down from 12
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 249500;penalty is 0, down from 506
3; 500% = 1.0; #uncovered = 500; #vertex = 500; #edges = 135280;penalty is 547, down from 547
9; 29% = 0.58; #uncovered = 29; #vertex = 50; #edges = 21;penalty is 31, down from 55
9; 22% = 0.04; #uncovered = 22; #vertex = 500; #edges = 827;penalty is 31, down from 667
1; 0% = 0.0; #uncovered = 0; #vertex = 300; #edges = 45088;penalty is 0, down from 300
9; 91% = 0.91; #uncovered = 91; #vertex = 100; #edges = 451;penalty is 96, down from 105
4; 215% = 0.99; #uncovered = 215; #vertex = 217; #edges = 3879;penalty is 288, down from 290
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 124376;penalty is 0, down from 741
9; 95% = 0.95; #uncovered = 95; #vertex = 100; #edges = 1025;penalty is 100, down from 105
9; 8% = 0.89; #uncovered = 8; #vertex = 9; #edges = 8;penalty is 10, down from 12
1; 0% = 0.0; #uncovered = 0; #vertex = 250; #edges = 300;penalty is 0, down from 300
9; 390% = 0.78; #uncovered = 390; #vertex = 500; #edges = 577;penalty is 481, down from 672
9; 95% = 0.95; #uncovered = 95; #vertex = 100; #edges = 160;penalty is 106, down from 111
1; 0% = 0.0; #uncovered = 0; #vertex = 5; #edges = 5;penalty is 0, down from 5
1; 0% = 0.0; #uncovered = 0; #vertex = 501; #edges = 205050;penalty is 0, down from 521
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 625;penalty is 0, down from 500
1; 0% = 0.0; #uncovered = 0; #vertex = 339; #edges = 57241;penalty is 0, down from 360
9; 23% = 0.12; #uncovered = 23; #vertex = 200; #edges = 251;penalty is 23, down from 250
1; 0% = 0.0; #uncovered = 0; #vertex = 300; #edges = 84489;penalty is 0, down from 407
2; 5% = 0.01; #uncovered = 5; #vertex = 499; #edges = 123991;penalty is 7, down from 751
4; 497% = 1.0; #uncovered = 497; #vertex = 499; #edges = 99197;penalty is 741, down from 744
9; 475% = 0.95; #uncovered = 475; #vertex = 500; #edges = 24935;penalty is 612, down from 641
9; 46% = 0.92; #uncovered = 46; #vertex = 50; #edges = 82;penalty is 54, down from 59
9; 225% = 0.45; #uncovered = 225; #vertex = 500; #edges = 627;penalty is 242, down from 530
9; 148% = 0.36; #uncovered = 148; #vertex = 416; #edges = 2073;penalty is 171, down from 500
4; 496% = 0.99; #uncovered = 496; #vertex = 500; #edges = 1578;penalty is 585, down from 589
1; 0% = 0.0; #uncovered = 0; #vertex = 160; #edges = 0;penalty is 0, down from 167
9; 3% = 0.5; #uncovered = 3; #vertex = 6; #edges = 7;penalty is 3, down from 7
9; 167% = 0.92; #uncovered = 167; #vertex = 181; #edges = 682;penalty is 181, down from 197
4; 168% = 0.99; #uncovered = 168; #vertex = 169; #edges = 560;penalty is 179, down from 180
1; 0% = 0.0; #uncovered = 0; #vertex = 350; #edges = 60876;penalty is 0, down from 358
9; 18% = 0.6; #uncovered = 18; #vertex = 30; #edges = 36;penalty is 18, down from 42
9; 14% = 0.23; #uncovered = 14; #vertex = 60; #edges = 1706;penalty is 17, down from 71
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 200343;penalty is 0, down from 600
2; 2% = 0.0; #uncovered = 2; #vertex = 500; #edges = 218558;penalty is 3, down from 656
4; 298% = 0.99; #uncovered = 298; #vertex = 300; #edges = 4443;penalty is 307, down from 309
4; 490% = 0.98; #uncovered = 490; #vertex = 501; #edges = 45273;penalty is 617, down from 630
1; 0% = 0.0; #uncovered = 0; #vertex = 100; #edges = 6819;penalty is 0, down from 117
9; 4% = 0.11; #uncovered = 4; #vertex = 35; #edges = 78;penalty is 4, down from 35
2; 2% = 0.0; #uncovered = 2; #vertex = 500; #edges = 124872;penalty is 2, down from 500
4; 448% = 1.0; #uncovered = 448; #vertex = 450; #edges = 13955;penalty is 497, down from 499
9; 11% = 0.25; #uncovered = 11; #vertex = 44; #edges = 69;penalty is 17, down from 64
9; 34% = 0.17; #uncovered = 34; #vertex = 200; #edges = 42;penalty is 36, down from 207
3; 500% = 1.0; #uncovered = 500; #vertex = 500; #edges = 49939;penalty is 536, down from 536
9; 352% = 0.7; #uncovered = 352; #vertex = 500; #edges = 744;penalty is 352, down from 501
9; 81% = 0.16; #uncovered = 81; #vertex = 499; #edges = 997;penalty is 129, down from 784
3; 500% = 1.0; #uncovered = 500; #vertex = 500; #edges = 124750;penalty is 532, down from 532
3; 140% = 1.0; #uncovered = 140; #vertex = 140; #edges = 1943;penalty is 259, down from 259
4; 478% = 0.96; #uncovered = 478; #vertex = 500; #edges = 47409;penalty is 717, down from 750
3; 500% = 1.0; #uncovered = 500; #vertex = 500; #edges = 1495;penalty is 591, down from 591
9; 95% = 0.95; #uncovered = 95; #vertex = 100; #edges = 100;penalty is 141, down from 150
2; 2% = 0.0; #uncovered = 2; #vertex = 500; #edges = 224575;penalty is 3, down from 700
9; 59% = 0.15; #uncovered = 59; #vertex = 400; #edges = 79863;penalty is 76, down from 500
9; 348% = 0.7; #uncovered = 348; #vertex = 500; #edges = 107193;penalty is 524, down from 750
4; 489% = 1.0; #uncovered = 489; #vertex = 491; #edges = 96049;penalty is 646, down from 648
9; 46% = 0.92; #uncovered = 46; #vertex = 50; #edges = 262;penalty is 73, down from 80
2; 6% = 0.01; #uncovered = 6; #vertex = 500; #edges = 111869;penalty is 7, down from 552
9; 12% = 0.75; #uncovered = 12; #vertex = 16; #edges = 22;penalty is 16, down from 20
9; 40% = 0.4; #uncovered = 40; #vertex = 100; #edges = 480;penalty is 40, down from 100
4; 494% = 0.99; #uncovered = 494; #vertex = 500; #edges = 39944;penalty is 541, down from 548
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 211534;penalty is 0, down from 666
1; 0% = 0.0; #uncovered = 0; #vertex = 15; #edges = 23;penalty is 0, down from 18
9; 11% = 0.52; #uncovered = 11; #vertex = 21; #edges = 25;penalty is 14, down from 26
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 199659;penalty is 0, down from 552
1; 0% = 0.0; #uncovered = 0; #vertex = 1; #edges = 0;penalty is 0, down from 2
9; 236% = 0.47; #uncovered = 236; #vertex = 500; #edges = 1283;penalty is 320, down from 678
9; 84% = 0.84; #uncovered = 84; #vertex = 100; #edges = 798;penalty is 94, down from 110
9; 2% = 0.2; #uncovered = 2; #vertex = 10; #edges = 14;penalty is 2, down from 11
1; 0% = 0.0; #uncovered = 0; #vertex = 500; #edges = 125183;penalty is 0, down from 957
1; 0% = 0.0; #uncovered = 0; #vertex = 300; #edges = 300;penalty is 0, down from 300
1; 0% = 0.0; #uncovered = 0; #vertex = 2; #edges = 2;penalty is 0, down from 4
9; 20% = 0.67; #uncovered = 20; #vertex = 30; #edges = 40;penalty is 30, down from 46
3; 500% = 1.0; #uncovered = 500; #vertex = 500; #edges = 93563;penalty is 750, down from 750
9; 112% = 0.28; #uncovered = 112; #vertex = 400; #edges = 430;penalty is 136, down from 480
3; 482% = 1.0; #uncovered = 482; #vertex = 482; #edges = 3598;penalty is 607, down from 607
4; 398% = 0.99; #uncovered = 398; #vertex = 400; #edges = 20062;penalty is 496, down from 498
4; 498% = 1.0; #uncovered = 498; #vertex = 500; #edges = 20513;penalty is 742, down from 744
